identifier	run	url
SRR4052036	SRR4052036	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052036/SRR4052036.sra
SRR4052037	SRR4052037	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR405/SRR4052037/SRR4052037.sra
SRR2244401	SRR2244401	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2244401/SRR2244401.sra
SRR2236793	SRR2236793	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236793/SRR2236793.sra
SRR2243639	SRR2243639	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243639/SRR2243639.sra
SRR2243812	SRR2243812	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243812/SRR2243812.sra
SRR2244215	SRR2244215	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2244215/SRR2244215.sra
SRR2245587	SRR2245587	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2245587/SRR2245587.sra
SRR2228273	SRR2228273	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228273/SRR2228273.sra
SRR2228283	SRR2228283	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228283/SRR2228283.sra
SRR2228304	SRR2228304	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228304/SRR2228304.sra
SRR2228308	SRR2228308	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228308/SRR2228308.sra
SRR2228313	SRR2228313	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228313/SRR2228313.sra
SRR2228320	SRR2228320	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228320/SRR2228320.sra
SRR2228347	SRR2228347	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228347/SRR2228347.sra
SRR2228399	SRR2228399	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228399/SRR2228399.sra
SRR2226903	SRR2226903	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2226903/SRR2226903.sra
SRR2226948	SRR2226948	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2226948/SRR2226948.sra
SRR2227815	SRR2227815	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2227815/SRR2227815.sra
SRR2228028	SRR2228028	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228028/SRR2228028.sra
SRR2228363	SRR2228363	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228363/SRR2228363.sra
SRR2228450	SRR2228450	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228450/SRR2228450.sra
SRR2228455	SRR2228455	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228455/SRR2228455.sra
SRR2228709	SRR2228709	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228709/SRR2228709.sra
SRR2231363	SRR2231363	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2231363/SRR2231363.sra
SRR2231379	SRR2231379	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2231379/SRR2231379.sra
SRR2195657	SRR2195657	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195657/SRR2195657.sra
SRR2195742	SRR2195742	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195742/SRR2195742.sra
SRR2195842	SRR2195842	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195842/SRR2195842.sra
SRR2195848	SRR2195848	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195848/SRR2195848.sra
SRR2195851	SRR2195851	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195851/SRR2195851.sra
SRR2195888	SRR2195888	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195888/SRR2195888.sra
SRR2195899	SRR2195899	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195899/SRR2195899.sra
SRR2195911	SRR2195911	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2195911/SRR2195911.sra
SRR2249439	SRR2249439	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2249439/SRR2249439.sra
SRR2198981	SRR2198981	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2198981/SRR2198981.sra
SRR2199344	SRR2199344	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199344/SRR2199344.sra
SRR2199433	SRR2199433	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199433/SRR2199433.sra
SRR2199447	SRR2199447	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199447/SRR2199447.sra
SRR2199461	SRR2199461	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199461/SRR2199461.sra
SRR2199486	SRR2199486	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199486/SRR2199486.sra
SRR2199654	SRR2199654	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199654/SRR2199654.sra
SRR2199674	SRR2199674	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR219/SRR2199674/SRR2199674.sra
SRR2228279	SRR2228279	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228279/SRR2228279.sra
SRR2243471	SRR2243471	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243471/SRR2243471.sra
SRR2243799	SRR2243799	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243799/SRR2243799.sra
SRR2244011	SRR2244011	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2244011/SRR2244011.sra
SRR2246328	SRR2246328	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2246328/SRR2246328.sra
SRR2247154	SRR2247154	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2247154/SRR2247154.sra
SRR2243467	SRR2243467	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243467/SRR2243467.sra
SRR2243564	SRR2243564	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243564/SRR2243564.sra
SRR2243964	SRR2243964	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243964/SRR2243964.sra
SRR2243976	SRR2243976	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243976/SRR2243976.sra
SRR2245613	SRR2245613	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2245613/SRR2245613.sra
SRR2246385	SRR2246385	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2246385/SRR2246385.sra
SRR2247258	SRR2247258	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2247258/SRR2247258.sra
SRR2249149	SRR2249149	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2249149/SRR2249149.sra
SRR2228258	SRR2228258	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228258/SRR2228258.sra
SRR2228264	SRR2228264	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228264/SRR2228264.sra
SRR2228322	SRR2228322	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228322/SRR2228322.sra
SRR2228323	SRR2228323	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228323/SRR2228323.sra
SRR2228324	SRR2228324	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228324/SRR2228324.sra
SRR2228338	SRR2228338	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228338/SRR2228338.sra
SRR2228381	SRR2228381	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228381/SRR2228381.sra
SRR2228390	SRR2228390	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228390/SRR2228390.sra
SRR2251251	SRR2251251	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR225/SRR2251251/SRR2251251.sra
SRR2250311	SRR2250311	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR225/SRR2250311/SRR2250311.sra
SRR2250498	SRR2250498	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR225/SRR2250498/SRR2250498.sra
SRR2188754	SRR2188754	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188754/SRR2188754.sra
SRR2188761	SRR2188761	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188761/SRR2188761.sra
SRR2188765	SRR2188765	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188765/SRR2188765.sra
SRR2188780	SRR2188780	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188780/SRR2188780.sra
SRR2188840	SRR2188840	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188840/SRR2188840.sra
SRR2188976	SRR2188976	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188976/SRR2188976.sra
SRR2188985	SRR2188985	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188985/SRR2188985.sra
SRR2188987	SRR2188987	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2188987/SRR2188987.sra
SRR2187423	SRR2187423	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187423/SRR2187423.sra
SRR2187434	SRR2187434	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187434/SRR2187434.sra
SRR2187443	SRR2187443	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187443/SRR2187443.sra
SRR2187554	SRR2187554	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187554/SRR2187554.sra
SRR2187575	SRR2187575	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187575/SRR2187575.sra
SRR2187581	SRR2187581	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187581/SRR2187581.sra
SRR2187582	SRR2187582	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187582/SRR2187582.sra
SRR2187586	SRR2187586	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR218/SRR2187586/SRR2187586.sra
SRR2248686	SRR2248686	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2248686/SRR2248686.sra
SRR2236447	SRR2236447	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236447/SRR2236447.sra
SRR2243795	SRR2243795	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2243795/SRR2243795.sra
SRR2244180	SRR2244180	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2244180/SRR2244180.sra
SRR2244354	SRR2244354	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2244354/SRR2244354.sra
SRR2248742	SRR2248742	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2248742/SRR2248742.sra
SRR2231720	SRR2231720	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2231720/SRR2231720.sra
SRR2232090	SRR2232090	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2232090/SRR2232090.sra
SRR2236719	SRR2236719	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236719/SRR2236719.sra
SRR2236798	SRR2236798	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236798/SRR2236798.sra
SRR2237511	SRR2237511	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237511/SRR2237511.sra
SRR2237784	SRR2237784	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237784/SRR2237784.sra
SRR2237416	SRR2237416	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237416/SRR2237416.sra
SRR2231787	SRR2231787	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2231787/SRR2231787.sra
SRR2228620	SRR2228620	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228620/SRR2228620.sra
SRR2228623	SRR2228623	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228623/SRR2228623.sra
SRR2228636	SRR2228636	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228636/SRR2228636.sra
SRR2228668	SRR2228668	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228668/SRR2228668.sra
SRR2228672	SRR2228672	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228672/SRR2228672.sra
SRR2228699	SRR2228699	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228699/SRR2228699.sra
SRR2228729	SRR2228729	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228729/SRR2228729.sra
SRR2228732	SRR2228732	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228732/SRR2228732.sra
SRR2228151	SRR2228151	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228151/SRR2228151.sra
SRR2228211	SRR2228211	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228211/SRR2228211.sra
SRR2245518	SRR2245518	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2245518/SRR2245518.sra
SRR2246384	SRR2246384	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2246384/SRR2246384.sra
SRR2248206	SRR2248206	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2248206/SRR2248206.sra
SRR2249278	SRR2249278	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR224/SRR2249278/SRR2249278.sra
SRR2250641	SRR2250641	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR225/SRR2250641/SRR2250641.sra
SRR2251641	SRR2251641	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR225/SRR2251641/SRR2251641.sra
SRR2227362	SRR2227362	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2227362/SRR2227362.sra
SRR2228055	SRR2228055	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228055/SRR2228055.sra
SRR2228172	SRR2228172	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228172/SRR2228172.sra
SRR2228210	SRR2228210	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228210/SRR2228210.sra
SRR2228216	SRR2228216	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228216/SRR2228216.sra
SRR2228446	SRR2228446	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228446/SRR2228446.sra
SRR2228631	SRR2228631	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228631/SRR2228631.sra
SRR2228771	SRR2228771	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR222/SRR2228771/SRR2228771.sra
SRR2237770	SRR2237770	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237770/SRR2237770.sra
SRR2236743	SRR2236743	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236743/SRR2236743.sra
SRR2236824	SRR2236824	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236824/SRR2236824.sra
SRR2237071	SRR2237071	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237071/SRR2237071.sra
SRR2237419	SRR2237419	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237419/SRR2237419.sra
SRR2237614	SRR2237614	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237614/SRR2237614.sra
SRR2236816	SRR2236816	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236816/SRR2236816.sra
SRR2237400	SRR2237400	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237400/SRR2237400.sra
SRR2237421	SRR2237421	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237421/SRR2237421.sra
SRR2237512	SRR2237512	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237512/SRR2237512.sra
SRR2237555	SRR2237555	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237555/SRR2237555.sra
SRR2237628	SRR2237628	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237628/SRR2237628.sra
SRR2237663	SRR2237663	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237663/SRR2237663.sra
SRR2237820	SRR2237820	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237820/SRR2237820.sra
SRR2236811	SRR2236811	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236811/SRR2236811.sra
SRR2236846	SRR2236846	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2236846/SRR2236846.sra
SRR2237319	SRR2237319	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237319/SRR2237319.sra
SRR2237566	SRR2237566	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR223/SRR2237566/SRR2237566.sra
