	S1_a_WGS	S101_a_WGS	S102_a_WGS	S103_a_WGS	S117_a_WGS	S119_a_WGS	S128_a_WGS	S13_a_WGS	S130_a_WGS	S132_a_WGS	S134_a_WGS	S138_a_WGS	S139_a_WGS	S14_a_WGS	S140_a_WGS	S142_a_WGS	S144_a_WGS	S146_a_WGS	S148_a_WGS	S149_a_WGS	S15_a_WGS	S150_a_WGS	S151_a_WGS	S152_a_WGS	S153_a_WGS	S154_a_WGS	S155_a_WGS	S156_a_WGS	S157_a_WGS	S158_a_WGS	S159_a_WGS	S16_a_WGS	S160_a_WGS	S161_a_WGS	S162_a_WGS	S163_a_WGS	S164_a_WGS	S165_a_WGS	S166_a_WGS	S167_a_WGS	S17_a_WGS	S18_a_WGS	S2_a_WGS	S26_a_WGS	S27_a_WGS	S28_a_WGS	S29_a_WGS	S3_a_WGS	S30_a_WGS	S31_a_WGS	S32_a_WGS	S33_a_WGS	S34_a_WGS	S35_a_WGS	S36_a_WGS	S4_a_WGS	S43_a_WGS	S45_a_WGS	S46_a_WGS	S47_a_WGS	S48_a_WGS	S49_a_WGS	S5_a_WGS	S50_a_WGS	S51_a_WGS	S52_a_WGS	S53_a_WGS	S54_a_WGS	S55_a_WGS	S56_a_WGS	S57_a_WGS	S58_a_WGS	S59_a_WGS	S6_a_WGS	S60_a_WGS	S62_a_WGS	S63_a_WGS	S64_a_WGS	S65_a_WGS	S66_a_WGS	S67_a_WGS	S68_a_WGS	S69_a_WGS	S70_a_WGS	S71_a_WGS	S72_a_WGS	S73_a_WGS	S79_a_WGS	S80_a_WGS	S81_a_WGS	S82_a_WGS	S83_a_WGS	S84_a_WGS	S87_a_WGS
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
PMID	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161	28222161
number_reads	2751935	3304314	7841860	8252935	3839459	4965592	2798649	6470505	3757735	5028567	5432398	6275532	7358644	9989121	2836052	3957303	5096369	4600515	378016	3347875	1906436	5268146	7153691	3851920	5519747	5013232	3136021	1663593	3504580	3878327	8357728	4738216	4484887	2369790	5570550	5952905	5968995	3228354	4936539	9039229	3028308	2716070	7219169	1477688	4032308	4733996	2835447	5269973	5264879	3613408	2071894	3152304	3171801	6171506	3469906	7537833	4338764	2492282	2578200	3615959	2698906	1640907	4030164	3034746	1363261	4173393	2608836	4226179	4504620	5751417	2869360	8101969	3025428	10443417	6269227	3581667	1411175	5006780	1868922	5961266	3531316	1227785	191602	143112	8248360	4285750	6064725	5393460	6168464	1707964	1718379	8206387	882620	3999646
number_bases	745676263	917998110	2236550045	2370722405	1058536294	1400440198	779505868	1787694611	1028562543	1388261839	1518780193	1761039985	2054575194	2733820115	783396019	1094513646	1416097085	1256613122	106569905	921852116	511616835	1469088712	1998676366	1076463999	1535302232	1384014666	841822294	443604177	988638665	1069184941	2332416654	1322597250	1258543303	662844802	1566536923	1650912136	1668010747	895343613	1386707008	2510561209	828820738	737850150	2022458461	413535310	1122635383	1332779176	775388196	1488299379	1489268567	939506222	546377088	816741005	812703804	1713581537	943853093	2111497535	1177657742	689490392	700299588	1013774781	746771525	431508026	1149250529	849902892	368015633	1178313971	725042735	1185762916	1233151325	1576699043	796025260	2269686423	837056671	2879015607	1731639391	982055866	318036556	1397307113	520118652	1651282454	989123101	343202790	53153953	37299793	2289355218	1206869602	1704268178	1497789398	1731815490	473294242	479825834	2275394483	244360465	1107378881
minimum_read_length	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72
median_read_length	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	245	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302	302
NCBI_accession	ERR1776143	ERR1776102	ERR1776103	ERR1776197	ERR1776105	ERR1776106	ERR1776107	ERR1776113	ERR1776108	ERR1776109	ERR1776110	ERR1776111	ERR1776112	ERR1776120	ERR1776114	ERR1776115	ERR1776116	ERR1776117	ERR1776118	ERR1776119	ERR1776131	ERR1776121	ERR1776122	ERR1776123	ERR1776124	ERR1776125	ERR1776126	ERR1776127	ERR1776128	ERR1776129	ERR1776130	ERR1776140	ERR1776132	ERR1776133	ERR1776134	ERR1776135	ERR1776136	ERR1776137	ERR1776138	ERR1776139	ERR1776141	ERR1776142	ERR1776148	ERR1776144	ERR1776145	ERR1776146	ERR1776147	ERR1776156	ERR1776149	ERR1776150	ERR1776151	ERR1776152	ERR1776153	ERR1776154	ERR1776155	ERR1776163	ERR1776157	ERR1776158	ERR1776159	ERR1776160	ERR1776161	ERR1776162	ERR1776174	ERR1776164	ERR1776165	ERR1776166	ERR1776167	ERR1776168	ERR1776169	ERR1776170	ERR1776171	ERR1776172	ERR1776173	ERR1776185	ERR1776175	ERR1776177	ERR1776178	ERR1776179	ERR1776180	ERR1776181	ERR1776182	ERR1776183	ERR1776184	ERR1776186	ERR1776187	ERR1776188	ERR1776189	ERR1776190	ERR1776191	ERR1776192	ERR1776193	ERR1776194	ERR1776195	ERR1776196
curator	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger	Paolo_Manghi,Marisa_Metzger
days_from_first_collection	0	0	15	30	NA	NA	NA	0	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	0	15	30	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	0	15	30	30	NA	NA	0	15	30	NA	NA	NA	NA	0	15	30	NA	NA	NA	NA	0	15	30	NA	NA	0	15	30	NA	NA	NA	0	15	30	NA	NA	NA	0	15	30	NA	NA	NA	NA	0	30	NA	NA	NA	NA
family	IjazUZ_2017_1	IjazUZ_2017_21	IjazUZ_2017_21	IjazUZ_2017_21	IjazUZ_2017_28	IjazUZ_2017_56	IjazUZ_2017_50	IjazUZ_2017_3	IjazUZ_2017_51	IjazUZ_2017_52	IjazUZ_2017_53	IjazUZ_2017_61	IjazUZ_2017_25	IjazUZ_2017_3	IjazUZ_2017_29	IjazUZ_2017_30	IjazUZ_2017_31	IjazUZ_2017_32	IjazUZ_2017_33	IjazUZ_2017_33	IjazUZ_2017_3	IjazUZ_2017_33	IjazUZ_2017_33	IjazUZ_2017_33	IjazUZ_2017_33	IjazUZ_2017_34	IjazUZ_2017_35	IjazUZ_2017_36	IjazUZ_2017_37	IjazUZ_2017_38	IjazUZ_2017_39	IjazUZ_2017_3	IjazUZ_2017_40	IjazUZ_2017_41	IjazUZ_2017_42	IjazUZ_2017_43	IjazUZ_2017_44	IjazUZ_2017_45	IjazUZ_2017_46	IjazUZ_2017_47	IjazUZ_2017_3	IjazUZ_2017_3	IjazUZ_2017_1	IjazUZ_2017_4	IjazUZ_2017_5	IjazUZ_2017_5	IjazUZ_2017_5	IjazUZ_2017_1	IjazUZ_2017_5	IjazUZ_2017_5	IjazUZ_2017_6	IjazUZ_2017_6	IjazUZ_2017_6	IjazUZ_2017_6	IjazUZ_2017_6	IjazUZ_2017_1	IjazUZ_2017_7	IjazUZ_2017_8	IjazUZ_2017_8	IjazUZ_2017_8	IjazUZ_2017_8	IjazUZ_2017_8	IjazUZ_2017_1	IjazUZ_2017_8	IjazUZ_2017_9	IjazUZ_2017_9	IjazUZ_2017_9	IjazUZ_2017_9	IjazUZ_2017_9	IjazUZ_2017_10	IjazUZ_2017_10	IjazUZ_2017_10	IjazUZ_2017_10	IjazUZ_2017_1	IjazUZ_2017_10	IjazUZ_2017_1	IjazUZ_2017_11	IjazUZ_2017_11	IjazUZ_2017_11	IjazUZ_2017_11	IjazUZ_2017_11	IjazUZ_2017_12	IjazUZ_2017_12	IjazUZ_2017_12	IjazUZ_2017_12	IjazUZ_2017_12	IjazUZ_2017_13	IjazUZ_2017_14	IjazUZ_2017_15	IjazUZ_2017_15	IjazUZ_2017_15	IjazUZ_2017_15	IjazUZ_2017_15	IjazUZ_2017_6
family_role	child	child	child	child	NA	NA	NA	child	NA	NA	NA	NA	NA	child	NA	NA	NA	NA	child	child	child	child	child	child	mother	NA	NA	NA	NA	NA	NA	child	NA	NA	NA	NA	NA	NA	NA	NA	child	father	child	mother	child	child	child	child	child	child	child	child	child	child	child	child	mother	child	child	child	child	child	child	mother	child	child	child	child	child	child	child	child	child	mother	child	child	child	child	child	child	father	child	child	child	child	father	NA	father	child	child	child	child	mother	father
disease_subtype	CD	CD	CD	CD	NA	NA	NA	CD	NA	NA	NA	NA	NA	CD	NA	NA	NA	NA	CD	CD	CD	CD	CD	CD	NA	NA	NA	NA	NA	NA	NA	CD	NA	NA	NA	NA	NA	NA	NA	NA	CD	NA	CD	NA	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	NA	CD	CD	CD	CD	CD	CD	NA	CD	CD	CD	CD	CD	CD	CD	CD	CD	NA	CD	CD	CD	CD	CD	CD	NA	CD	CD	CD	CD	NA	NA	NA	CD	CD	CD	CD	NA	NA
treatment	no	no	EEN	EEN	no	no	no	5-ASA	no	no	no	no	no	EEN;5-ASA	no	no	no	no	no	EEN	EEN;5-ASA	EEN;iron	iron	5-ASA	no	no	no	no	no	no	no	5-ASA	no	no	no	no	no	no	no	no	5-ASA	no	EEN	no	aza	EEN;aza	EEN;aza	EEN	aza	aza;nutritions	aza	EEN;aza	EEN;aza	aza	5-ASA;overnight_feeds	no	no	no	EEN	EEN	no	probiotic	Lactulose	no	aza;5-ASA	aza;5-ASA;EEN	aza;5-ASA;EEN	aza;5-ASA	aza;5-ASA;modulen_suppl	no	EEN;5-ASA;folate;forceval;methotrexate	EEN;5-ASA;folate;forceval;methotrexate	5-ASA;folate;forceval;methotrexate	no	5-ASA;folate;forceval;methotrexate	aza;iron	aza;iron;EEN	aza;iron;EEN	aza;iron	5-ASA;aza	no	no	EEN	EEN	aza	no	no	no	no	EEN	no	no	no	no
disease_location	L3L4	L3	L3	L3	NA	NA	NA	L3L4	NA	NA	NA	NA	NA	L3L4	NA	NA	NA	NA	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	NA	NA	NA	NA	NA	NA	NA	L3L4	NA	NA	NA	NA	NA	NA	NA	NA	L3L4	NA	L3L4	NA	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	L2	L2	L2	L2	L2	L3L4	NA	L3	L3	L3	L3	L3	NA	NA	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	L3L4	NA	L3L4	L2L4	L2L4	L2L4	L2L4	L2L4	NA	L2L4	L2L4	L2L4	L2L4	NA	NA	NA	L2L4	L2L4	L2L4	L2L4	L2L4	NA
