	SID5411-1	SID5411-2	SID5411-3	SID5411-4	SID5412-1	SID5412-2	SID5412-3	SID5412-4	SID5413-1	SID5413-2	SID5413-3	SID5413-4	SID5414-1	SID5414-2	SID5414-3	SID5414-4	SID5415-1	SID5415-2	SID5415-3	SID5415-4	SID5416-1	SID5416-2	SID5417-1	SID5417-2	SID5417-3	SID5417-4	SID5418-1	SID5419-1	SID5420-1	SID5420-2	SID5420-3	SID5421-1	SID5421-2	SID5421-3	SID5421-4	SID5423-1	SID5423-2	SID5423-3	SID5423-4	SID5425-1	SID5425-2	SID5425-3	SID5425-4	SID5426-1	SID5427-1	SID5427-2	SID5427-3	SID5427-4	SID5428-1	SID5428-2	SID5428-3	SID5428-4	SID5429-1	SID5429-2	SID5429-3	SID5429-4	SID5433-1	SID5433-2	SID5433-3	SID5433-4	SID5434-1	SID5434-2	SID5434-3	SID5434-4	SID5435-1	SID5435-2	SID5435-3	SID5435-4	SID5438-1	SID5438-2	SID5438-3	SID5438-4	SID5439-1	SID5439-2	SID5439-3	SID5439-4	SID5440-1	SID5440-2	SID5440-3	SID5440-4	SID5441-1	SID5441-2	SID5441-3	SID5441-4	SID5442-1	SID5442-2	SID5442-3	SID5442-4	SID5443-1	SID5443-2	SID5443-3	SID5443-4	SID5444-1	SID5444-2	SID5444-3	SID5444-4	SID5445-1	SID5445-2	SID5445-3	SID5445-4	SID5446-1	SID5446-2	SID5446-3	SID5446-4	SID5448-1	SID5448-2	SID5448-3	SID5448-4	SID5449-1	SID5449-2	SID5449-3	SID5449-4	SID5450-1	SID5450-2	SID5450-3	SID5450-4	SID5451-1	SID5451-2	SID5451-3	SID5451-4	SID5452-1	SID5453-1	SID5453-2	SID5453-3	SID5453-4	SID5454-1	SID5454-2	SID5454-3	SID5454-4	SID5455-1	SID5455-2	SID5455-3	SID5455-4	SID5457-1	SID5457-2	SID5457-3	SID5457-4	SID5458-1	SID5458-2	SID5458-3	SID5458-4	SID5459-1	SID5460-1	SID5460-2	SID5460-3	SID5460-4	SID5461-1	SID5461-2	SID5461-3	SID5461-4	SID5462-1	SID5462-2	SID5462-3	SID5462-4	SID5463-1	SID5463-2	SID5463-3	SID5463-4	SID5465-1	SID5466-1	SID5466-2	SID5466-3	SID5466-4	SID5467-1	SID5467-2	SID5467-3	SID5467-4	SID5468-1	SID5468-2	SID5468-3	SID5468-4	SID5469-1	SID5469-2	SID5469-3	SID5469-4	SID5470-3	SID5470-4	SID5473-1	SID5473-2	SID5473-3	SID5473-4	SID5474-3	SID5474-4	SID5476-1	SID5476-2	SID5476-3	SID5476-4	SID5477-1	SID5477-2	SID5477-3	SID5477-4	SID5478-1	SID5478-2	SID5478-3	SID5478-4	SID5479-1	SID5479-2	SID5479-3	SID5479-4	SID5480-1	SID5480-2	SID5480-3	SID5480-4	SID5481-1	SID5481-2	SID5481-3	SID5481-4
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.54464	0.26018	0.30543	0.28593	0.0861	0.3107	0.04414	0.21943	0.08922	0.02224	0.07935	0.03634	0.00496	0	0	0.0731	2.81011	0	0.14113	0.03595	0.09071	0.1213	0	0	0	0	0.50391	0.1806	0.01129	0	0.07299	0	0	0.00398	0.10246	0.09521	0.00757	0.00311	0.05137	0	0.00868	0	0	0.18154	0.05611	0.01219	0.00552	0.14001	0.96682	1.753	0.03767	0.8095	0.1802	1.09751	0.17883	0.11986	0.02025	0.13753	0.01881	0.06809	0	0	0	0.13067	0.01071	0	0.07702	0	0.09836	0.07358	0.45136	0	0	0	0	0	0	0	0.00488	0.04838	0	0.00656	0	0.20429	0.10443	0.22696	0	0.02902	0.0476	0	0	0	0.24335	6.15805	0.18265	0.17977	0.01414	0.01651	0.05777	0.01715	0.01416	0	0.00124	0.36253	0	0.4821	0	0.10078	0	0.00452	0.00317	0	0	0	0.06959	0.074	0.26832	0.15705	0.35635	0.1312	0	0.00606	0.02639	0.43952	13.96434	0	0	0.043	0.01441	0.02835	0.00135	0.32253	0.36805	0.116	0	0.30863	0.46452	0	0.18396	0.00864	0.01173	0	0.02347	0.08104	0.43417	0.3808	0.006	0	0.04761	0	0	0.01293	0.00953	4.02919	0.09653	0.24856	0.05741	1.37891	0.00917	0	0.01734	0	0.00286	0.00701	0.05683	0	0.27686	0.02448	0	0	0	0.20322	0.93267	0.18834	0.39321	0	0.20586	0.09516	0.07159	0.595	0	0	0.37456	0	0.00523	0.08519	0.08413	0.06617	0.1044	0.02886	0	0.01993	0.37963	0.03533	0.01877	0.00524	0.17406	0	0	0.05891	0.15322	0.14017	0.0219	0.36343	0.20605	1.85312	1.51397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	0.5353	0.38524	0.16936	0.16811	0	0	0	0	0	0	0	0	0	0	0	0	0.21806	0.281	0.94621	0.02032	0	0	0	0	0	0	0	0.02695	0	0	0	0	0	0	0	0	0	0	0	0.02768	0.19824	0.31392	0.08035	0.02565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06397	0.07634	0.07499	0.27798	0	0	0	0	0.03459	0.01534	0.02904	0.06386	0.27029	0.10312	0.22134	0.40662	0	0	0	0	0	0	0	0	0	0	0	0	0.15939	0.2203	1.83875	0.70648	0	0	0	0	0	0	0	0	0	0	0	0.14794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	1.02572	0.91201	1.24387	2.32082	0	0	0	0	0	0	0	0	0.13773	0.14998	0.09857	0	0	0	0	0	0	0.55791	0.03478	0.18889	0.88676	0	0	0	0	0.07792	0.05574	0.3101	0.13089	0	0.07109	0.18464	0.06734	0.10049	0	0	0	0	0.64833	0.70259	0.28547	1.80612	0	0	0	0	0.16275	1.22219	0	0	0	0	0.07463	0.53957	0	0	0	0	0	0	0	0.01964	0	0	0	0	0.0263	0.03019	0.04445	0.02066	0.77225	0.2194	0.14938	0.04426	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20	0.51388	0.2756	0.28729	0.28509	0	0	0	0	0	0	0.00276	0.01275	0.97304	0.30376	0.67142	0.31993	0.09818	0.1302	0.11444	0.03259	1.38864	1.10936	0	0	0	0	0	0.19485	0.62805	0.03997	0	0.21106	0.18831	0.84877	0.46393	1.32702	1.06929	0.66605	0.45875	0.47447	0.53875	1.49553	0.48722	0.18976	0.66074	0.74937	0.40235	0.22312	0.27637	0.04465	0.55911	2.51509	1.68497	0.42979	0.40586	1.54338	0	0	0	0	0.61621	0.64155	0.09484	0.51258	0	0	0	0	0.17636	0.51337	0.53494	0.5731	0.26904	0.26102	0.20932	0.39155	0	0.01251	0.13256	0.17161	0.63918	0.30201	0.69349	1.17978	0.96471	1.40728	5.87025	0.50429	0.66032	1.1164	0.80479	0.96082	0	0	0	0	0.00268	0.00397	0.14212	0.53524	0.1087	0.07257	0.03156	0.2964	0	0	0	0	0.20817	0.33086	0.34246	0.40244	0	0	0	0	4.03277	1.35489	1.89845	0.87019	0.27439	0.81944	0.86008	0.44302	0.70785	0	0	0	0	0.40763	0.0737	0.27881	0.4352	1.32779	1.38077	0.65515	1.16116	0.08522	0.15767	0.06032	1.35797	1.01439	0.70741	1.28627	0.86188	0.60694	0.31802	0.03762	0.23127	0.83551	2.14997	0.37712	0.8104	0.63788	0.07254	0.12928	0.11042	0.20434	0	1.28182	0.30647	0.76716	0.83615	0	0	0	0	1.02122	1.52423	1.31777	3.54922	0.37865	0.19137	1.09631	0.19046	1.07608	1.38688	0.35221	0.41708	1.02642	0.61116	0.39022	0.54476	0.98982	0.27689	0.94432	0.57163	0.69856	2.17527	0.88204	1.15358	0.01007	0.11883	0.07078	0.09006	0.24046	0.27552	0.19033	1.13704	0	0	0	0	0.53618	0.16894	0.18006	0.21143
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.50821	0.61118	0.41019	0.38075	0.24994	0.2543	0.09205	0.16286	0	0	0	0	2.02139	0.88209	0.99423	0.24989	0.05186	0.05668	0.17709	0	0.05795	0.10498	0.00224	0.00143	0.00024	0	0.1235	0.40979	0.19184	0.01881	0.03839	0.39055	3.76821	1.77564	1.31189	0.08326	0.08624	0.0269	0.04016	0.0734	0.08486	0.32431	0.19956	0.43527	0	0	0	0	0.51492	0.20563	0.15658	0.57737	0.71431	0.15933	0.34061	0.27954	0	0.00199	0	0.01017	0.03028	0.05353	0.01294	0.02191	0.23243	0.02487	0.1056	0.0861	0.04058	0.06367	0.06832	0.05029	0.03778	0.03807	0.08096	0.05506	0	0.0035	0.14025	0.1378	0.00094	0.00314	0.0068	0.00159	0.33963	1.80058	1.50107	0.20056	0.10507	0.30271	0.04584	0.01492	0.17004	2.09983	2.77628	2.50966	0.00457	0.02096	0.11351	0.11333	0.03117	0.13555	0.28188	0.04603	0	0	0	0	0.36521	0.69045	0.69473	1.04107	0.07861	0.08261	0.18388	0.09766	0.28788	0.03878	0.01322	0.04869	0	0	0	0	0	0.02708	0.05423	0.09365	0.03602	0.1679	0.19688	0.28501	0.24692	0.32717	0.46838	0.23564	0.2996	0.01084	0.03553	0.06079	3.36664	0.12561	0.84769	0.17599	0.56853	0.46146	0.11602	0.00989	0.05883	0.0644	0.00144	0.00616	0.00748	0.00182	0.02678	0.17555	0.10089	0.10307	0.01201	0.19114	0.14885	0.03799	0.21053	0	0	0	0	0.0363	0.04671	0.02501	0.05596	0.05325	0.23958	0.19553	0.07556	0.01034	0.10826	0.0091	0.05632	0.03869	0.06437	0.04609	0.11623	0.23215	0.17535	0.34106	0.23853	1.80586	2.89899	0.8355	0.65436	0.22732	0.82619	0.26058	0.46944	0.06374	0.06246	0.03099	0.61232	0.13817	2.44012	0.76562	0.23169	0.04021	0.0233	0.03544	0.01819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.47468	0.09165	0.0396	0.02009	0.03194	0.74446	0.01429	0.0329	0	0	0	0	0.8404	0.49157	0.32605	0.04479	0.06779	0	0.02414	0	0.11358	0.04363	0.38305	0.41703	0.85486	0.08511	1.93967	2.62501	3.60834	0.2092	0.48877	0	0	0	0	2.78938	1.17856	1.40416	1.54793	0.00159	0.02386	0.01313	0.49798	2.78414	0	0	0	0	0.53809	1.8941	0.57216	2.86424	0.05847	1.57075	0.04938	0.11808	0.02402	0.01545	0.00036	0.16648	0.04039	0.18723	0.04733	0.08973	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01542	0.34724	0.48173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02184	0.08774	0.18662	0	2.51657	4.24879	0	0	0.7423	0.31962	0.67422	0.25732	0	0	0	0	0	0	0	0	1.90306	0.07116	0.15022	0.24489	0.25888	0.01264	0.01231	0.01967	0.01473	0.40258	0.60902	0.29053	0.92918	0.00254	0.00774	0.09888	0.08317	0	0	0	0.33264	0	0.26731	0.02115	0.19897	0.06448	0	0	0	0	1.11812	0.73438	3.82604	3.37532	0.49635	0.41576	0.02431	0.45802	0.0739	0	0	0	0	3.63809	8.20109	0	8.73257	0	0	0	0	0.02525	2.75936	0.03385	2.98196	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0.00789	0.03609	0.08318	1.05912	0.12216	0.15036	0.00417	0.06964	0.00414	0.00916	0.00634	0.00326	5.35017	1.04016	0.08925	0.02482	0.09845	0.16344
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_110	0.46576	0.8314	0.23638	0.24306	0	0	0	0	0.04103	0.40182	1.41449	1.25201	0	0	0	0	0.41197	0.76982	0.53343	0.83764	1.7596	0.46866	0	0	0	0	0	0.04699	0.09139	1.24499	0.2137	0	0	0	0	0.08484	0.25544	0.02763	0.54729	0.0362	0.09492	0.19081	0.00209	0.05516	0.01837	0.0014	0.00522	0.20801	0.21179	0.27348	0.21977	0.37965	0.87755	0.60865	1.17003	0.20651	0	0	0	0	0.02163	0.01595	0.00537	0.0112	0	0	0	0	0.04006	0.07164	0.29478	0.04255	0.00028	0	0	0	0	0.17644	0.80033	0.2147	0.38264	0.36685	0.12806	0.03091	0.62874	1.36945	0.84629	0.05449	0.716	1.92304	1.88437	1.44629	0	0	0	0	0.00021	0	0	0	0	0	0	0.04419	0	0	0	0	0.29268	5.67582	1.67568	2.23616	0	0	0	0	0.3996	0.12497	0.04885	0.27578	0	0.83369	1.21396	5.13164	3.54264	0	0	0	0	0.01126	0.0335	0.09843	0.0273	1.34921	0.56376	0.46856	0.32707	1.30832	0.28326	0.18295	0	1.70704	0	0	0	0	0.26897	0.05491	0.17893	0.03067	3.08915	2.62391	3.06534	1.65565	0.125	0.11778	0.03961	0.75497	0	0.75473	0.47332	1.37323	3.26089	0	0	0	0.00093	0.01081	0	0.00516	0	0	0	0	0	0.28059	0.27606	1.32927	2.04579	1.90759	4.58237	1.01352	1.73988	0.46314	0.08717	0.21967	0.47479	0.4959	3.4099	0.52883	0.23773	0	0	0	0	0.10755	0.18119	0.20648	0.23126	0	0	0	0	1.75973	3.32027	4.09719	0.48994
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	0.34538	0.08708	0.32949	0.34004	0.09259	0	0.00045	0	0	0	0	0	0	0	0	0	0	0.00805	0.03246	0.14317	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0	3e-04	0.01678	0	0.06407	0.16917	0.10873	0	0.00123	0	0.00476	0	0.01322	0	0	0	0	0	0.00303	0	0.00294	0	0	0	0	0	0	0	0	0	0	0	0	0.02815	0	0	0	0	0	0	0	0	0	0.00808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067	0.00095	0	0	0	0	0	0.03474	0	0	0.00448	0	0	0.0051	0	0	0	0	0	0	0	0	0	0	0.06793	0.0679	0.18019	0	0.26434	0.03556	0.07587	0.13254	0	0	0	0	0	0	0.00421	0	0	0	0	0	0.00491	0.03364	0.00382	0.00387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00416	0	0.00282	0	0	0.50255	0.39657	0.10242	0.06179	0	0.00204	0	0	0.28932	0.06142	0.04801	0.5963	0	0	0.0032	0.08721	0	0.39973	0.00151	0	0.01661	0.03328	0.05507	0.05051	0.00679	0	0	0	0	0	0	0.08638	0.0045	0	0.00831	0.00948	0.05706	0.09652	0.36467	0.08439	0.03276	0.03734	0.01547	0.00226	0.08485	0.20779	0.07163	0.35384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.3423	0.49179	0.76629	0.80019	0.2683	3.48996	0.49476	3.83752	2.85422	5.08661	6.53199	8.57538	0.84369	2.58241	6.51808	0.62793	0.46107	0.45258	0.73758	0.0378	0.634	0.70056	0	0	0.00024	0	3.91259	0.02412	0	0	0	1.40618	18.35403	1.75651	2.23368	0	0	0	0	0.20209	0.38195	0.59448	1.22702	0.02205	0	0	0	0	0.6076	4.78616	0.69717	5.45918	0	0	0	0	0.03176	0.11786	0.06538	0.08438	1.39629	4.69041	0.73965	3.15312	0.26248	0.01503	0.39221	0.98002	0	0	0.0024	0	0.42123	0.96688	0.55102	1.47945	0	0.00679	0.03186	0.39648	0.15615	0.67036	0.31984	0.37222	0	0	0	0	0.03186	0.00489	0.05167	0	0.18947	1.96893	0.45348	0.42292	0.29028	2.26106	3.00056	2.86297	0.11123	0.06503	0.59331	5.13214	18.0399	26.04008	71.17409	40.64637	0	5e-04	0	0	0	0	0	0	1.16595	1.57047	2.58221	1.69078	8.98669	1.02516	1.76491	1.86338	5.46471	0	0	0	0	2.21843	0.39325	0.30348	2.21917	0	0	0	0	3.48269	4.00947	1.37328	0.27009	0.18783	0.00169	0	0.00072	0	0	0	0	0	4.54361	5.1334	2.1448	11.04444	1.16102	0	0	0	0.42597	0	0	0	0	12.22383	28.37646	48.0002	25.52003	0.5487	0.39036	0.34316	1.57558	0.00058	0	0	0.00058	0.02151	0.17545	0.00689	0.01101	0.01178	0.01269	0.01476	0.04914	2.80587	2.97956	7.00925	3.64352	14.89673	10.70565	2.13035	5.80461	0	0	0	0	0.06512	0.06731	0.0484	5.83266	19.87771	13.69247	5.86713	1.38991	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.34212	0.15762	0.28985	0.27964	6.13569	6.29202	9.24017	2.23635	0.56639	4.62703	3.09167	0.98763	2.5955	1.37612	0.71124	2.58897	0.43604	0.24411	0.42444	0.09702	1.73876	0.90117	0.50979	6.74394	4.03652	4.19043	3.97093	0.82792	4.95254	11.10249	18.31033	0.84271	1.72558	0.48639	0.6177	0.3076	0.06791	0.78255	0.75947	0.48596	0.20666	0.29201	1.9488	0.78828	1.70464	1.42249	0.30742	0.9804	1.77485	3.10465	3.78888	0.50925	0.65053	0.14792	1.27491	1.37172	8.5106	10.04243	5.39653	9.57944	0.51367	1.66182	1.15461	0.45016	0.82859	0.54528	3.05711	0.28629	0.57547	0.22506	2.27303	2.05525	1.2957	0.31325	1.14835	0.1466	2.00495	1.06258	0.64486	0.35243	0.68353	0.62195	0.49548	0.09284	0.60691	1.01317	0.52661	0.58298	2.03847	1.85874	0.12726	1.641	3.31164	2.21865	4.62597	3.13557	5.25008	2.12674	1.06807	3.03941	4.03835	2.00188	4.37152	0.30224	2.86725	0.19898	1.92249	4.10182	2.35804	4.05638	3.2486	1.73366	1.75163	1.25245	3.95432	0.77523	1.47747	0.42277	1.21222	1.05231	2.67394	0.45901	1.32916	2.90092	0.22408	7.51565	9.62609	4.59369	6.22465	1.301	0.92399	0.65147	1.37973	0.50025	0.63211	1.08795	0.20049	2.64293	0.96376	2.28695	0.68664	10.5653	1.34655	3.946	0.93191	2.4397	0.44685	2.43627	1.40496	0.6193	1.70607	2.11487	1.60252	0.85559	5.93935	0.11893	0.78805	0.25536	17.80719	0.88469	0.34704	0.74513	1.06438	8.98213	4.31278	0	6.46288	0.09261	0.02151	0.10421	0.00913	0.17345	0.05782	0.24593	0.2278	0.28599	0.06812	0.17958	0.15366	0.18445	0.93956	0.29458	1.34782	1.1655	1.25234	1.79046	1.2139	0.7099	0.53377	0.35864	0.27418	0.25036	0.17326	0.80561	0.83061	0.1787	0.06154	0.14428	0.27305	1.87555	1.06393	8.65269	1.58893	0.29558	0.1858	0.17583	0.11295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38	0.32379	0.24332	0.71538	0.73712	0	0	0	0	0	0	0	0.17268	0.48857	0.13297	0.04436	0.02392	1.23437	1.55589	0.08035	0.50296	0.14554	0.22757	0	0	0	0	0	0.84846	0.29288	0.01634	0.07375	0.22204	0.12142	0.05289	0.84679	2.77615	1.30304	0.3733	0.53745	0.07235	0.01068	0.04388	0	0.91634	0	0.01002	1.12744	0.06918	0.4303	0.00397	0.13263	0.23372	0.00755	0.2244	0.02386	0.09595	0.2458	0.00338	0	0.06475	0	0.01954	0.01282	0.39859	0.18709	0	0.00114	0.0191	0	0	0	0.00315	0	0	0	0	0	0.0073	0.40713	1.55186	0.05911	0.00345	0.09395	0.55075	0.29176	0.37326	0.14252	0.20186	0.23583	0.01972	0.14536	0.08169	0.11587	0.06134	0.37098	0.68166	0.00021	0.01834	0.01425	0.09066	0	0	0.09505	0	0	0.01697	0.96151	2.92011	1.16744	0.56005	0.99259	1.50357	0	0	0	0	0.05001	0.01171	0.21989	0.09386	1.59461	0.92068	0.06946	0.89636	0.05623	2.40534	0.44041	0.80352	0.30743	0.27731	0.07226	0.28419	0.09423	0.23655	0.94862	0.69636	1.06103	0	0	0	4.21251	0	2.33056	0.92092	0.29539	0.30672	0.20565	0.16925	0.76842	0.75225	1.68489	0.32646	0.08486	0.24407	0.19673	0.09845	0.14971	0	0.08024	0.89687	4.80543	4.03773	0.74066	2.20348	0.56834	0	0.08765	0.80275	0.7707	1.25994	1.70539	0.64644	0.30275	0.44845	0	0.14294	1.25944	0.05076	0.57113	0.45787	0.07793	0.06347	0.08462	0.23198	0.13688	0.04751	0.5645	0.97921	0.28765	0.40777	0.57947	2.81035	1.0716	0.11711	3.8015	0.15008	0.4953	0.05871	0.568	0.23389	0.1929	0.11048	0.16969	0.34447	0.00961	0.0687	0.26939
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	0.31908	0.48163	0.28072	0.34036	0	0	0	0	0	0	0	0	0.13904	0.58802	0.15352	2.9448	1.20071	1.23222	3.31896	2.04789	7.68934	2.57304	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09713	5.814	1.35456	4.46534	0.75492	0.4137	2.21587	0.03549	0	0	0	0	0	9.54442	16.29678	15.03641	4.91336	6.75048	2.22216	5.15438	1.52858	0	0	0	0	0.01235	0	0	0	0	0	0.00031	0	0	0	0	0	0.00084	0	0	0	0	0.01535	0.96005	0.40908	0	0	0	0	1.6607	4.93845	1.6529	1.03129	0.0198	2.75792	1.14727	2.8132	0.04232	0	0	0	0	0.02417	0	0	0	0	0	0.52488	0	0	0	0	0	0	0	0	0	0.01857	0.0153	0	8.36779	11.03441	14.45927	10.85835	0	0.52484	3.45476	4.80524	2.03706	0	0	0	0	0.01779	0.02973	0.0761	0.46049	1.98736	2.78168	2.25518	2.1985	0.30851	1.08008	1.57852	0.00303	0.21422	0	0	0	0	0	0	0	0	7.63124	3.54156	4.73236	6.78171	3.6773	6.81689	9.8926	9.00465	3.87195	0	0	0	0	0.00042	0.00044	0	0.00906	2.62639	1.38094	2.45664	1.05585	0	0	0	0	0.23483	1.02866	5.80587	5.5689	5.31879	9.17844	0	0	0.79426	0.69593	0.3204	1.71512	6.74556	5.09493	6.0831	1.7577	0	0	0	0	0.92655	4.5075	0.95527	1.65991	0	0	0	0	1.04677	0.63086	0.03311	0.00891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.3115	0.35764	0.20475	0.18765	0.26304	0.01291	0.11648	0.25854	1.01848	0.24038	0.32013	0.48229	0.87024	1.04884	1.44016	1.61978	0.22279	0.22337	0.25463	0.53954	0.22792	0.10684	0	0	0	0	0.38322	0.3319	0.13863	0.04198	0.3176	1.4574	0.35185	0.53372	0.61515	0.05048	0.49118	0.37566	0.47139	0.15916	0.50908	0.33755	0.32495	0.31137	0.76169	0.7993	0.573	0.90125	0.09483	0.03999	0.15438	0.08912	0.31313	0.33111	0.72113	0.43492	0.2049	0.00754	0.01315	0.06593	0.68745	0.49215	0.57023	0.29899	0.10383	0.07667	0.22847	0.23109	0.63541	0.36027	0.25318	0.2407	0.53699	0.42971	0.19521	0.19315	0	0.13906	0.2711	0.11421	0.08194	0.0432	0.34442	0.09198	0.38642	0.46529	0.81196	0.36596	0.15898	0.23428	0.10033	0.49043	1.65648	0.04669	0.2924	1.06308	1.10394	1.27021	1.60497	0.9906	0.98324	0.27129	0.40548	1.15138	0.26065	0.14869	0.89725	1.31289	0.38102	0.40056	0.66258	0.4096	0.24833	0.42652	0.2956	0.45793	0.45341	0.16047	0.46737	0.05686	0.35487	0.56003	1.04394	1.90943	0.56693	0.79487	0.55615	0.87459	0.79574	0.75482	0.49103	0.41103	0.84881	0.20367	0.27031	0.48914	0.15363	0.76777	0.82699	0.58038	0.12197	0.59121	0.56499	0.32649	0.17153	0.38318	0.88183	1.80445	0.87944	0.82407	0.05661	0.12584	0.04966	0.03945	1.14856	0.31598	0.40379	0.42032	1.8036	0.23795	0.27543	0.33048	0.56772	0.18235	0.25233	0	0.25298	0.4993	0.0392	0.11579	0.09277	0.1942	0.03405	0.18328	0.0186	0.10167	0.03578	0.70371	0.49209	0.44667	1.229	0.36604	0.22309	0.42929	0.94432	0.63519	0.35593	0.36028	0.42609	0.23919	0.18003	0.65211	0.3213	0.89128	0.90619	0.18252	0.40166	0.13056	0.16504	0.62798	0.48436	0.04674	0.42344	0.82828	0.78694	0.16542	0.97967
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.30906	0.25424	0.42864	0.42357	1.52801	6.12315	3.60251	0.97046	3.08571	1.09887	1.19954	0.50556	6.068	1.67321	1.02534	2.94395	0.75124	0.58491	1.15415	0.68352	0.45958	0.65873	0	0	0	0	1.99899	0.47356	0.08688	2.44179	1.32085	0.54556	1.22148	0.68333	0.90603	0.25089	0.161	1.09762	0.74325	0.34544	0.20469	0.31916	0.24238	0.43431	0.05186	0.13084	0.14324	0.98747	0.29484	1.35937	1.54769	0.83624	0.75537	0.22511	0.85568	0.78376	0.64725	0.74282	0.37098	0.32268	0.46322	1.52524	1.21858	0.25545	0.73225	0.8382	1.4174	0.92559	0.07651	0.19878	0.8085	0.43896	0.39778	0.086	0.30959	0.13048	0.90271	1.65184	1.23387	0.93517	0.2705	0.35087	0.30325	0.10264	0.8622	1.07351	0.75012	1.15528	0.54546	1.62815	0.33248	1.02775	2.5008	2.68072	0.44112	1.42444	1.69382	1.15043	1.36762	0.82022	2.76504	1.25573	0.94939	0.54754	0.36306	0.07087	0.41469	0.62018	1.0798	2.41402	1.13321	1.28496	0.59719	0.52677	0.50695	0.35277	1.14785	0.66448	1.28639	0.8476	0.81115	0.39174	0.65983	0.42937	0.08675	1.81813	1.25034	0.41944	0.73829	0.71501	0.38606	0.61429	0.76488	0.21553	0.18515	0.4215	0.06574	0.8316	1.37091	1.57926	0.48527	2.18813	0.8333	1.72602	0.24087	1.13188	0.48431	1.83091	0.93083	0.24807	0.201	0.3798	0.18304	0.25619	1.47799	0.14667	0.93748	0.31378	4.14601	0.5766	0.22909	0.59782	0.66268	1.28117	0.63762	0	1.24724	0.28921	0.20983	0.56837	0.15523	0.36913	0.15644	1.03793	0.53289	0.24457	0.13585	1.83722	0.59619	0.95547	1.55976	0.22513	0.20937	1.99712	1.9105	0.61702	1.72449	0.46197	1.18994	0.76922	0.38984	0.4086	0.17232	0.33695	0.45243	0.28381	0.33502	0.53298	0.39437	0.15364	0.18014	0.50395	0.15163	1.40711	1.45468	0.66035	0.69018
