	ESS-0005	ESS-0010	ESS-0014	ESS-0020	ESS-0026	ESS-0035	ESS-0039	ESS-0044	ESS-0053	ESS-0058	ESS-0062	ESS-0068	ESS-0077	ESS-0080	ESS-0088	ESS-0093	ESS-0098	ESS-0104	ESS-0113	ESS-0119	ESS-0123	ESS-0129	ESS-0136	ESS-0141	ESS-0147	ESS-0155	ESS-0158	ESS-0165	ESS-0172	ESS-0177	ESS-0184	ESS-0188	ESS-0195	ESS-0202	ESS-0208	ESS-0215	ESS-0219	ESS-0224	ESS-0231	ESS-0237	ESS-0243	ESS-0251	ESS-0254	ESS-0262	ESS-0268	ESS-0272	ESS-0280	ESS-0286	ESS-0290	ESS-0296	ESS-0302	ESS-0308	ESS-0316	ESS-0321	ESS-0326	ESS-0335	ESS-0338	ESS-0347	ESS-0353	ESS-0359	ESS-0364	ESS-0371	ESS-0376	ESS-0383	ESS-0386	ESS-0394	ESS-0400	ESS-0405	ESS-0410	ESS-0419	ESS-0425	ESS-0430	ESS-0435	ESS-0441	ESS-0447	ESS-0452	ESS-0459	ESS-0467	ESS-0473	ESS-0476	ESS-0482	ESS-0489	ESS-0496	ESS-0501	ESS-0506	ESS-0513	ESS-0521	ESS-0526	ESS-0531	ESS-0536	ESS-0542	ESS-0550	ESS-0555	ESS-0561	ESS-0569	ESS-0578	ESS-0586	ESS-0590	ESS-0596	ESS-0603
non_westernized	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no
sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep	KAMA_Hyper_Prep
PMID	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964	28441964
number_reads	27046356	39985266	76668802	44873829	37291012	10997344	10728662	84035665	85009033	53652527	45927005	52229490	103772195	35297161	56287808	97955089	19373933	59811446	51319231	90389121	94005571	62997211	145419241	16424809	102147226	32064789	69034020	28090584	29241595	53652556	108052297	36199323	61456271	55242421	180072555	59362907	33208389	59915153	71478242	51374675	80897843	39313540	44503164	58166953	133779591	83052377	214155964	14761881	215120558	55135201	62277751	42812396	36608389	41238253	92988652	21987547	52415140	17055035	45750965	15977083	31889266	83298994	50786950	38587701	58824796	58808691	82021533	79348734	81329728	71687915	46399865	83662701	73607937	51629844	76186321	119741522	63022878	55126826	49175157	43635487	56187386	122303890	64947608	110998182	71505138	24569154	40076953	70017829	26628121	38900315	31075458	90311244	42862828	37531019	35683075	54363386	52767756	206709501	67004081	117348345
number_bases	2542357464	3758615004	7206867388	4203190821	3505355128	1032610797	1008494228	7820414337	7990849102	5043337538	4317138470	4888841646	9666764221	3317933134	5291053952	9112181506	1821149702	5622275924	4796626445	8496577374	8768754785	5805227328	13591354401	1535245823	9530451056	3000047399	6481711186	2716883123	2733345231	4989892380	10156915918	3402736362	5746258545	5192787574	16833414556	5580113258	3102790220	5632024382	6718954748	4815434722	7484974148	3695472760	4162534834	5400567191	12563296155	7806923438	19993067116	1387616814	20127176582	5352352744	5854108594	3994331418	3541708007	3876395782	8689783505	2133148090	4906061499	1590201101	4279686827	1550405632	2969648800	7804542574	4747298422	3627243894	5507397126	5494478689	7655851783	7412525865	7613110805	6701088390	4348166090	7831669625	6887903816	4793141804	7161514174	11199161770	5903534611	5151827485	4606479396	4236675436	5258116479	11456966398	6059300728	10334349476	6721482972	2378138385	3767233582	6543035768	2488383738	3656629610	2810291897	8479846470	4010443689	3527915786	3354209050	5110158284	4960169064	19338278650	6298383614	10994748143
minimum_read_length	94	94	94	44	94	44	94	44	94	94	94	44	44	94	94	44	94	94	44	94	44	44	44	44	44	44	44	44	44	44	94	94	44	94	44	94	44	94	94	44	44	94	44	44	44	94	44	94	44	94	94	44	44	94	44	94	44	44	44	94	44	44	44	94	44	44	44	44	44	44	44	44	44	44	94	44	44	44	44	94	44	44	44	44	94	44	94	44	44	94	44	44	44	94	94	94	94	44	94	44
median_read_length	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	100	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	100	94	94	100	94	94	100	94	94	94	100	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	100	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94	94
NCBI_accession	SRR6784598	SRR6784597	SRR6784596	SRR6784595	SRR6784594	SRR6784593	SRR6784592	SRR6784591	SRR6784590	SRR6784589	SRR6784588	SRR6784587	SRR6784586	SRR6784585	SRR6784584	SRR6784583	SRR6784582	SRR6784581	SRR6784580	SRR6784579	SRR6784578	SRR6784577	SRR6784576	SRR6784575	SRR6784574	SRR6784573	SRR6784572	SRR6784414	SRR6784571	SRR6784570	SRR6784406	SRR6784569	SRR6784568	SRR6784567	SRR6784566	SRR6784565	SRR6784564	SRR6784563	SRR6784562	SRR6784561	SRR6784560	SRR6784559	SRR6784558	SRR6784557	SRR6784556	SRR6784555	SRR6784405	SRR6784554	SRR6784553	SRR6784413	SRR6784552	SRR6784551	SRR6784412	SRR6784550	SRR6784549	SRR6784411	SRR6784548	SRR6784547	SRR6784546	SRR6784410	SRR6784545	SRR6784544	SRR6784543	SRR6784542	SRR6784541	SRR6784540	SRR6784539	SRR6784538	SRR6784537	SRR6784536	SRR6784535	SRR6784534	SRR6784533	SRR6784532	SRR6784531	SRR6784404	SRR6784530	SRR6784529	SRR6784528	SRR6784409	SRR6784527	SRR6784526	SRR6784525	SRR6784524	SRR6784523	SRR6784408	SRR6784522	SRR6784521	SRR6784520	SRR6784519	SRR6784403	SRR6784518	SRR6784517	SRR6784516	SRR6784515	SRR6784514	SRR6784513	SRR6784512	SRR6784511	SRR6784510
curator	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi	Paolo_Manghi
BMI	22.09428571	32.99795918	31.4944	27.96130073	21.28460208	25.07236842	30.03540039	27.16706302	25.90247271	23.79384615	19.93460648	24.02119377	24.13850309	19.57562932	34.32617188	25.60353798	25.74462891	21.38520508	32.39424	20.25244141	27.63114135	30.56521739	30.22843322	36.01915794	21.9458897	21.04992274	22.70773001	21.43110059	42.24583767	26.45609467	20.7790121	30.73672222	28.559375	21.60896951	30.11085916	28.7342128	24.37158203	26.56840514	27.4609375	23.96023669	19.96686391	21.69753086	26.25952148	25.54152249	22.46272189	25.74462891	18.25041655	22.67132491	26.30825617	24.68696845	26.03423811	31.13817082	19.57562932	30.47533972	23.38019652	33.08425161	24.40487998	21.63076923	23.38290758	22.27134986	27.11767578	22.27134986	26.54183673	30.53798173	24.27411265	32.99113322	20.63242604	30.09948764	38.18141236	24.933391	29.61751479	22.59412305	22.8049308	27.58344531	24.87200832	24.85353535	21.60109739	27.33888889	23.17016602	37.41552734	21.03147763	22.31201172	29.95029586	21.74070069	22.67132491	25.57299805	34.55198488	29.84163265	24.61175922	29.45112426	28.80015117	23.02595112	29.98313827	24.67673469	21.7680998	24.10285714	26.94361028	31.31877163	19.36639118	22.51644737
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	42.44159	1.14866	6.80988	6.92885	0	5.9073	2.46659	0.07589	0.06384	0.00138	0.83778	0.83369	1.57841	0.66618	1.98972	1.14946	3.42858	0.00608	0.00807	0.38427	0.08156	0.01451	1.12437	3.74323	1.56	0.21946	0.00675	2.35018	0.98985	0.17593	0.21858	0.07227	0.97682	0.08592	0.02384	0	16.09897	0.00494	0.488	0.24359	0.02527	2.21144	0.42741	5.78162	1.62832	0.00976	0.07537	0	2.18349	0.43582	0.00193	0.13596	0.01034	0.05297	0.24986	0.21171	15.1032	0.50971	0.10527	0.1855	0.28445	1.10906	7.79078	0.04141	1.26081	0.04968	0.0177	5.46869	0.02528	0.08837	0.45788	0.12432	0.01321	0.01889	2.38465	0.00667	0.06269	0.86383	0.01072	2.16763	0.02174	1.66916	0.68674	5.09203	0.04162	0.07161	0.00602	0.53905	0.39632	0.06782	0.11028	0.00887	2.96698	0.01334	0.09182	4.68065	2.86238	0.00601	0.05921	0.0815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	9.3161	0.01574	2.87743	0	0.84033	0	0.06012	1.10967	1.45434	0.00429	0.01393	2.5282	0.01305	1.37887	1.25021	2.39693	5.24166	0.00573	0.01899	0.27385	0.02221	6.3797	0.01316	0.00375	0.0197	2.20421	0.00773	2.71514	0.00844	1.33434	0.01907	0.94032	0.10006	0	1.76735	3.43933	0	0.75607	2.73434	0.9568	2.14334	1.75653	0.26549	0	2.92437	0.01393	1.74106	1.28064	0.00317	0.00979	0.00649	0	0.00881	0	0.01093	0	0.12555	0.00987	0.64331	0	1.06378	0.01587	2.0629	0.00634	1.16345	0.02246	0.02829	2.87596	14.51051	0.01555	0.23673	1.03583	0.01808	1.66652	0.03053	0.01367	2.73042	2.44902	0.01473	6.55927	0.92243	1.00497	3.55239	0.0237	0.00957	0.04475	1.26002	0.01304	0.01903	0.84657	1.53967	0.50881	0	0.17745	0	0	0	0.00771	0.01378	0.02043
