	GupDM_A_11	GupDM_A_15	GupDM_A1	GupDM_A10	GupDM_A12	GupDM_A13	GupDM_A14	GupDM_A2	GupDM_A3	GupDM_A4	GupDM_A5	GupDM_A6	GupDM_A7	GupDM_A8	GupDM_A9	GupDM_HAG	GupDM_HAH	GupDM_HAI	GupDM_HAJ	GupDM_HAK	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HBR	GupDM_HCL	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCU	GupDM_HCV	GupDM_HCY	GupDM_HDB	GupDM_HDF	GupDM_HP	GupDM_HR	GupDM_HS	GupDM_JA	GupDM_JB	GupDM_JC	GupDM_JD	GupDM_JE	GupDM_JG	GupDM_JH	GupDM_JI	GupDM_JJ	GupDM_JK	GupDM_JL	GupDM_JM	GupDM_JN	GupDM_JO	GupDM_JP
fobt	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
disease_stage	1	1	1	3	3	2	3	3	3	3	3	3	3	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	3	1	1	1	3	1	4	3	3	1	1	3	3
disease_location	rectum	rectum	rectum	colon	rectum	rectum	rectum	sigmoid colon	colon	colon	rectum	sigmoid colon	sigmoid colon	colon	rectum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rectum	rectum	colon	colon	rectum	colon	sigmoid colon	colon	colon	sigmoid colon	rectum	rectum	rectum	sigmoid colon	rectum
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	26.21286	57.33251	24.6124	34.15032	1.28937	12.77199	5.27225	4.2072	0	0.00932	2.45734	0	5.18049	55.53339	0.2888	0.8666	0.08537	0.02331	0	0.28194	3.38255	9.68801	0.29912	0.15785	0.23413	0.01352	4.48316	0	0	1.74442	1.06202	0	5.25067	0.06686	4.81257	0	0.18787	6.0639	0.06668	9.831	0	0.21079	0.42901	0.0501	0.26388	0	1.60171	1.25211	4.80063	1.15925	14.80429	0.71907	3.31133	3.77374	1.0119	0.15895	1.0124	1.32941	3.44763	7.3781
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	15.49458	0	0.81345	0	0	0	0	0.30735	0	2.81667	0.05778	27.26674	0.0809	0	0	0	0	0	4.49796	0	0	7.38114	3.47545	0	0	0	0	0.18425	0	0.15424	0	0.00389	0	11.70117	0	0	0	0	0.07969	4.80851	0.10892	10.54514	0	0.92685	0	0	0	0.3112	0.17577	0.17952	0	0	0.08704	0.12554	0.07853	0	0.121	0.19484	0.06484	0.04527
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica	7.43768	0	0.33521	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	7.32234	0	1.07397	0	0.26833	0	3.99981	3.86272	1.52953	0.26218	0	10.13426	0.3649	0	0.13606	0	0	0	0.66402	0	0	0.35619	6.27539	2.12242	0	0	0	0.5257	0	0.03199	3.97459	0.21866	0.99859	32.18097	0.73259	0	0	0	0.23879	2.67976	0.59476	24.94361	0	0	0	0	2.20647	0.52286	1.88417	0	0.02145	3.95315	1.44295	3.34974	2.11374	0	1.85272	2.03914	1.42353	0.43273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	6.43363	0	0.85123	0	0.04405	0	3.27545	0.7134	0	0	1.30276	0	0	0	0	0	0	0	0	6.47252	4.18493	4.47672	0	11.69464	0	6.7354	0	0	0.29119	0	0.12858	0	0	0	0	5.10471	0	20.52979	0	0	0	0	2.0953	6.04599	0.98348	0	0.04257	2.05669	11.92433	34.70667	1.123	1.04932	1.09335	23.41667	16.68439	0.37253	1.88314	1.71463	1.02824	12.38441
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279	3.91058	0	4.58853	0	0	0	25.28067	0.28553	0	0	0.34877	0	0	0	0	1.53727	0.28258	0.35408	0	1.56934	0.01283	0	0	12.23885	0	0.07559	0.08829	0	0	1.50546	0	0	6.41712	0	5.23313	1.69255	0	0.99169	0	0	0	0	0	0	2.3712	0	13.55364	0.01538	0.198	1.58317	0	28.19024	6.37732	0.55272	16.06466	0	11.63089	12.2759	7.33795	2.99164
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_sp_CAG_357	3.79204	0	1.42754	5.44719	0	3.12142	0	0	0	0	0	0	0	0	0	0	3.7663	6.46041	2.99828	0	0	0	0	0	0	1.57225	0	19.454	0	0	0.35997	0	0	0	0	0	0	0	0	1.19616	19.46276	0	0	1.50998	0	7.06269	0	0	0	0	0	0	0	0	0	7.36735	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	3.30673	0	0.15192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33936	0	0	0	0	0	0	0	0	0	0	0	0	0.39697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	2.54554	0	0.10944	0	0	0	0	0	0	0	0.14032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	2.41898	0	0.24621	0	0.24505	0	0.77221	0.90051	2.36557	0.13289	0.22953	1.42248	0.00815	0	0	0.06615	0.01934	0	0.09245	0.02851	0	0.5323	0.11912	0	0.00856	0	0	0.09472	0	0	0.08181	0.02584	0	0.11478	0.44607	0	0	0	0.02165	0.06779	0.12094	0.7764	0	0.10257	0.02291	0	0.36433	14.29407	9.25073	2.82869	0	0.34736	5.484	6.8631	1.4111	0.56757	8.18387	8.38277	4.83483	1.11618
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis	2.17207	0	0.09385	0	0	0	0	0.08964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20792	0	0	0	0	0.69817	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_413	2.03725	0	0.08775	0	0	0	0	22.75191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84191	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04103	0.32125	0	0	0	0.52009	0	0	0	0	0.50918
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	1.53036	0	0.05045	0	0	0	0	7.29352	0	1.86491	0.34438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18378	0	0	0	0	0	0.07363	0	0	0	0	0	0.06755	0.01527
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	1.5118	0.04738	2.05309	0.23019	0.32517	0	0.65511	0.90556	0	1.81227	0.2691	0	0	0.03861	0.012	0	0.25216	0	10.5555	0	0	0.02198	0	0	0.16651	0	0	0	0	0	3.53786	0	0	0	0	0	0	0	0	11.92148	0	0.00934	0	0	0	0	0.13754	12.2518	6.65674	0	0.08724	0.63852	4.02881	4.83668	0.30088	0.75867	7.72265	7.69899	3.67521	0.05378
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_anaerobius	1.36325	0	0.0502	0	0	0	0	0	0	0	2.63229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	1.04865	0	0.04533	0	0	0	0	0.02443	2.72866	0	0	0.14028	0	0	0	0	0	0	0	0	0	0	0	0.00427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59518	2.72529	1.91997	0	0	0.27129	4.66367	0.85636	0	0.34541	0.33169	0.20306	0.67392
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	1.01085	0.05706	0.83492	0.58814	0.19229	3.39676	1.19441	0.48194	5.27813	0.56118	0	1.40294	0.02581	0.03057	0.2179	0	0.02548	0.00221	0.09126	0	0	0.24314	0.49879	0	0	0	0	0.04547	0	0	0.11338	0	0.12344	0.05011	0	0	0	0.00955	0	0.2845	0.02439	0.39615	0	0.00926	0	0	1.5405	0.0818	0.05001	0.1068	0	1.12312	0.83965	0.05851	0.64256	0	0.52141	0.57479	0.89504	0.29611
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_170	1.01031	0	0.03982	0	0	0	0	0	0	0.22935	0.32793	0	0.12892	0	0	0.00921	0	0	0	0.23383	0.08337	0.03592	0	0	0	0	0	0.01396	0	0.04235	0.3806	0.20678	1.36788	0	0	0.5955	0	0	0.23726	0	0	0	0.15393	0	0.81976	0	0	0.08165	0.1451	0.90299	10.3109	0	0.12193	0.086	0.38637	0.00972	0.0342	0.04557	0.09111	5.33678
