	MET0001	MET0002	MET0004	MET0005	MET0006	MET0007	MET0008	MET0009	MET0010	MET0011	MET0012	MET0013	MET0014	MET0015	MET0016	MET0017	MET0020	MET0021	MET0022	MET0023	MET0024	MET0025	MET0026	MET0027	MET0028	MET0029	MET0030	MET0031	MET0032	MET0033	MET0034	MET0035	MET0038	MET0039	MET0040	MET0041	MET0042	MET0043	MET0044	MET0045	MET0046	MET0047	MET0048	MET0049	MET0050	MET0051	MET0052	MET0053	MET0054	MET0055	MET0056	MET0057	MET0060	MET0061	MET0062	MET0064	MET0065	MET0066	MET0067	MET0068	MET0069	MET0070	MET0073	MET0074	MET0075	MET0076	MET0081	MET0082	MET0083	MET0084	MET0085	MET0086	MET0087	MET0088	MET0089	MET0090	MET0091	MET0092	MET0093	MET0094	MET0095	MET0096	MET0097	MET0100	MET0102	MET0103	MET0104	MET0105	MET0106	MET0107	MET0108	MET0109	MET0110	MET0111	MET0112	MET0113	MET0114	MET0115	MET0116	MET0117	MET0118	MET0119	MET0120	MET0121	MET0122	MET0123	MET0124	MET0125	MET0126	MET0127	MET0128	MET0129	MET0130	MET0131	MET0132	MET0133	MET0134	MET0135	MET0136	MET0137	MET0138	MET0139	MET0141	MET0142	MET0143	MET0144	MET0155	MET0156	MET0157	MET0158	MET0159	MET0160	MET0161	MET0162	MET0163	MET0164	MET0165	MET0166	MET0167	MET0168	MET0169	MET0170	MET0171	MET0172	MET0173	MET0174	MET0175	MET0176	MET0177	MET0178	MET0179	MET0180	MET0181	MET0182	MET0183	MET0184	MET0185	MET0186	MET0187	MET0188	MET0189	MET0190	MET0191	MET0192	MET0193	MET0194	MET0195	MET0196	MET0197	MET0198	MET0199	MET0200	MET0201	MET0202	MET0203	MET0204	MET0205	MET0206	MET0207	MET0208	MET0209	MET0210	MET0211	MET0212	MET0213	MET0214	MET0215	MET0216	MET0217	MET0218	MET0219	MET0220	MET0221	MET0222	MET0223	MET0224	MET0225	MET0226	MET0227	MET0228	MET0229	MET0230	MET0231	MET0232	MET0233	MET0234	MET0235	MET0236	MET0237	MET0238	MET0239	MET0240	MET0241	MET0243	MET0244	MET0245	MET0246	MET0247	MET0248	MET0249	MET0250	MET0251	MET0252	MET0253	MET0254	MET0255	MET0256	MET0257	MET0258	MET0259	MET0260	MET0261	MET0262	MET0263	MET0264	MET0265	MET0266	MET0267	MET0268	MET0269	MET0270	MET0271	MET0272	MET0273	MET0274	MET0275	MET0276	MET0277	MET0278	MET0279	MET0280	MET0281	MET0282	MET0283	MET0284	MET0285	MET0286	MET0287	MET0288	MET0289	MET0290	MET0291	MET0292	MET0293	MET0294	MET0295	MET0296	MET0297	MET0298	MET0299	MET0300	MET0301	MET0302	MET0303	MET0304	MET0305	MET0306	MET0307	MET0308	MET0309	MET0310	MET0311	MET0312	MET0313	MET0314	MET0315	MET0316	MET0317	MET0318	MET0319	MET0320
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	0	0	0	0.03834	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01187	0	0.05085	0.0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45124	0	0	0	0	0.1032	3.95086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198	0	0	0	0	0.30395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03819	0.09937	0	0.02737	0	0	0	0	0	0	0	0.05267	0	0	0	0	0	0.10531	0.01852	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07681	0.0209	0.05837	0.01848	0	0	0	0	1.1133	0	0	0.00876	0	0	0	0	0	0	0	0.00347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00779	0	0	0	0	0	0	0	0	0	0	0.00582	0	0	0	0	0	0.01369	0	0	0	0	0.02064	0	0	0	0	0	0.08745	0.01428	0.0051	0.15915	0.00046	0.12439	0.08678	0.0435	0.14421	0.2922	0	0.04192	0	0.02145	0	0	0.06305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_elongata	0	0	0	0.03619	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08179	0	0	0	0	0	0.17831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03894	0	0.00269	0	0	0.58391	0.14933	0	0	0.23474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02961	0	0	0	0	0	0	0	0	0	0	0	0	0.02998	0	0	0.60513	0.03766	0.01359	0	0	0	0	0	0	0	0	0.01901	0	0	0	0	0	0.00304	0	0	0	0	0	0	0	0	0	0	0	0	0.00528	0	0.04474	0	0	0.15763	0	0.30021	0.00254	0.06541	0	0	0	0	0	0.01964	0	0	0	0	0	0	0.00911	0	0	0	0	0.00213	0	0	0	0	0	0.00986	0	0	0	0	0	0.00701	0	0	0	0	0	0	0	0	0	0	0.08809	0.01669	0.00462	0.11995	0	0.10703	0.06438	0.03086	0.191	0.13639	0	0.04907	0	0	0	0	0.03492
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae	0	0	0	0.03542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01987	0	0	0	0	0	0.09601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0.01349	0.00539	0	0	0.01923	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus	0	0	0	0.03019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06434	0	0	0	0	0	0.08062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01145	0	0	0	0	0.12439	0	0	0	0.09202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02885	0	0.06882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217	0.09377	0.04786	0	0	0	0.00085	0	0	0	0	0.01387	0	0	0	0	0	0.06611	0.00375	0.00587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148	0.02592	0.01466	0	0	0	0	0.05563	0	0	0	0	0	0	0	0	0	0	0.0762	0	0.03188	0.00146	0	0	0	0	0	0	0.0251	0.00213	0	0	0	0	0	0.00598	0	0	0	0	0.0062	0	0	0	0	0	0.01882	0	0	0.00778	0	0	0.00854	0	0.03484	0	0	0.02913	0	0	0	0	0	0.02047	0	0	0	0	0.01527	0.02155	0	0.02242	0.05278	0	0.00641	0	0	0	0	0.00775
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Propionibacterium_humerusii	0	0	0	0.0269	0	0	0	0.00699	0	0	0	0	0.00687	0.01528	0	0	0	0	0	0	0	0	0.00782	0.00433	0	0	0	0.01105	0	0	0	0	0.03323	0.01144	0	0.01424	0.01307	0.00786	0	0	0	0.00775	0	0	0	0	0.01764	0	0	0	0	0.01555	0.2262	0	0	0.02421	0	0	0.00572	0	0	0	0	0.0034	0	0	0	0	0.26119	0	0	0.06856	0	0	0.02028	0	0.01248	0	0	0.01533	0	0	0.03403	0	0.03608	0.0046	0.01689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01099	0	0.00404	0	0.0031	0.00198	0	0	0	0	0	0	0	0	0	0.11885	0.0896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00518	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0.01498	0	0.01088	0	0	0.00362	0	0	0	0.003	0.006	0	0	0	0	0	0.00939	0.00442	0.00289	0.00247	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00265	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.00166	0.19116	0.02295	2.37498	0.099	0	0.01666	0.33501	0	0.98238	0.02927	0.20144	0.07332	0	0.00147	0	0.00281	0	0.00284	0	0	0	0	0	0.00225	0	0	0	0	0.00593	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum	0	0	0	0.02608	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06978	0.03338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08869	0	0	0	0	0	0.1361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01548	0	0	0	0	0.16806	0	0	0	0.03814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03521	0	0	0	0	0	0	0	0	0	0	0	0	0.01753	0	0	0.11382	0.01131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525	0.0719	0.00116	0	0	0	0	0.06646	0	0	0	0	0	0	0	0	0	0	0.00186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00376	0	0	0	0	0	0	0	0	0	0	0.00344	0	0	0	0	0	0.00141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00311	0	0	0.00738	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_endodontalis	0	0	0	0.02529	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04348	0	0.00334	0	0.03913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01956	0	0	0	0	0.00294	0	0	0	0	0.00284	0	0.00104	0.00201	0	0	0.08347	0.00908	0.01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00368	0	0	0.01482	0	0	0.00088	0	0	0	0	0	0	0.00491	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0	0	0	0.01915	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02879	0	0.02112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79014	0.04178	0	0	0	0.05536	1.16961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8532	0	0.07576	0.00486	0.12893	7.31612	0.5268	0.00731	4.3951	2.66201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10768	0	0	0	0.03295	0.13302	0.08488	0	0	0	0	0	0	0.10958	0	0	0	0.10387	0.06127	0.24617	0	0	0	0	0.11496	0	0.01118	0.01395	0.02959	0	0	0	0	0	0	0	0.11936	0	0.03188	0	0	0.00472	0.00185	0	0.00965	0	0.06415	0	0	0.04263	0	0	0.21664	0.05619	0.01638	0.01669	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09379	0.08506	0.02579	0	0	0	0.04169	0.11083	0	0	0.00379	0	0.23271	0	0.01585	0.08999	0	0.00246	0.21911	0	0.23566	0.06541	0	0.05472	0.00678	0.02514	0	0.0127	0.40931	0.10009	0	0	0	0.05149	0	0.13039	0.113	0	0.00267	0	0.20094	0	0	0	0	0.00883	0.01166	0	0	0	0	0	0.01037	0	0.01336	0	0	0.00962	0	0	0	0	0	0.07162	0	0.00121	0.01997	0	0.0318	0.07535	0.02602	0.02506	0.11488	0	0.06269	0	0	0	0	0.06231
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0	0	0	0.00957	0	0	0	0	0	0	0	0	0	0	0	0	3.40042	8.32199	0	0.10198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08349	0	0	0	0	0.08656	0.08055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09261	0	0.00922	0	0.04693	1.27784	0.23518	0.0045	2.63334	1.06459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07173	0	0.09598	0	0	0.07763	0	0	0	0	0	0	0	0.05784	0	0	0	0.05064	0.03372	0.28345	0	0	0	0	0	0	0	0	0.01539	0	0	0	0.0235	0	0	1.11644	0.21917	0.18963	0.15822	0	0	0.01802	0.02981	0	0.00694	0	0.10777	0	0.04891	0.90123	0	0.59904	4.72637	0.45825	0.1917	0.32875	0	0.03963	0	0	0	0	0	0.09154	0	0	0.06865	0	0	0.02484	0.26577	0.02862	0	0	0	0	0.10251	0	0	0.00556	0	0.21153	0.04386	0.01502	0.11896	0.00709	0.0286	0.36367	0	0.55224	0.05556	0.05012	0.06217	0.0051	0	0	0	0.28737	0	0	0	0	0	0	0.0577	0	0	0	0	0	0	0	0	0	0	0.17336	0.05806	0	0.10211	0	0.00679	0.17753	0	0.47385	0.00398	0.01776	0.86282	0	0	0	0.01133	0	0.12698	0	0.00659	0.08361	0.0285	0.05543	0.14719	0.04065	0.15305	0.13945	0	0.06048	0.02263	0	0	0	0.17917
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	0	0	0	0.00827	0.00365	0	0	0	21.05318	0	0.02355	0.23236	0	0	0	0	0.54095	0.09543	0.1028	0.21526	0.00383	0	0.00262	0	0	0.0201	33.64707	0	0	0	0	0	0	0.10212	0	0.03118	0.03841	0	0.01609	0	0	0.00065	0	9.9831	0	0	0	0	0	0	0	0	0	0	0.0389	0.1561	0.07998	0.08317	0	0	0	1.65359	0	0	0	0	0	0	0	0	0	0	0	0	0	33.47033	0.01709	0.01755	0	0.06036	0	0	0	0.2013	0.26577	0.0236	0	0.0288	0	0.01005	0.03566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01064	0	0	0	0	0	0	0	0	11.55053	0	0.10239	0	0	42.49122	0.00805	0	0	0.01175	0	1.26565	0.09131	0	0.02096	0	0	0	0	0	0.00399	0	0	0	7.92121	0.02846	0	0	0	0.09292	0.0914	0.18669	0.03223	0.00107	0.02118	0	0.07982	0	0.06803	0.02762	0.04511	0	0	0	0	0	0	0	0.08972	0.0382	0.02403	0	0	0.01423	0.0223	0	0	0	0.06784	0	0.01623	0.00572	0	0	0.04535	0.01662	0.0218	0.03799	0	0	0	0	0	0.00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00351	0	0	0.00208	0	0	0.00134	0	0	0	0.01213	0.05121	0	0.00839	0	0	0.23686	0	0	0	0	0.02717	0.24326	0.06387	0.01095	0.03208	0.36172	0.02968	0.50974	0.09358	0.06211	0.02785	0.07298	0.15102	0.02346	0.77154	0	0.04451	0.09654	0.78528	0.24103	0.00191	0.56081	0.18242	0.1311	0.72462	0.34659	0.85652	0.00898	0.15948	1.09436	0.00243	0.00434	0	0.19057	0.3706	0.00587	0	0	0	0	0	0.00183	0	0	0	0	0.06018	0	0	0	0	0.05427
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae|g__Cardiobacterium|s__Cardiobacterium_valvarum	0	0	0	0.00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01473	0	0	0	0	0	0.03535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106	0	0	0	0	0	0	0	0	0	0	0.00094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0	0	0.00771	0.0013	0	0.0036	0.01147	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella_sp_oral_taxon_HOT_286	0	0	0	0.00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01483	0	0.02303	0	0	0	0	0	0	0	0	0.00286	0	0	0	0	0	0	0	0.01654	0	0.00837	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109	0	0	0	0	0.00432	0.00127	0	0	0.01784	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_riegelii	0	0	0	0	0.11341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05648	0.06181	0.006	0	0	0	3.20717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00181	0.00294	0.00426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00394	0.02791	0.12754	0.13417	0.08998	0	0.00437	4.19544	1.90976	0	0.02523	11.73979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01259	0	0	0	0	0	0.01738	0	0	0	0	0.02611	0.02339	0	0	0.17662	0.00487
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	0	0	0	0	0.09958	0	0	0.00554	0	0	0	0	0	0	0.01492	1.68485	0.0524	1.11363	0.0586	0.08847	2.92217	0.82647	0.00248	0	1.13334	0	0.41184	0	0	0	0	0	0	0	0	0.02216	0	0	0.19214	0	0	0.00189	0	0	0	0	0	0	0	0	1.59284	0	0	0	0	0	0	0.08735	0.00197	0.37098	0	0	0	0	0	0	0	0	0.24445	2.55511	4.39177	0	0	0.11876	0	0	0.00416	0	0	0.03704	0.14956	0	0	0.02708	0.11903	0.03378	0	0.5354	0.1492	0.01428	0.38328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33242	0	0	0	0	0	0	0.98752	0.32146	0	0	0	0	0	0	0.06739	0.01715	0.00415	0	0.03825	1.12307	4.83697	0.14332	54.48359	0	0.8617	1.0206	0	57.95733	0	0.06579	0.6293	4.82235	0.67757	0	0	0.50864	0.25117	0.53116	0.25271	1.19092	0.73989	1.59153	13.35213	0.11727	0.72866	0.02357	3.33677	0	1.30543	0.36485	0.20926	0.22868	3.41822	1.20881	0.68892	15.36552	0.07505	1.58715	0.02562	0.75447	1.64988	0.20014	1.09741	1.47144	0	0	0.13309	0.16254	0.08517	0	3.32969	0.70634	0.74822	0.49699	0.88047	0.03557	0.36415	1.06695	0.14677	0.15061	0.01736	3.49554	0.13664	0.14459	0.10589	0.01473	0.62147	0.34607	2.68373	2.50294	2.10003	0.03506	0.02729	0.2854	4.67143	0.94671	0.38212	0.10709	4.25729	0.54523	0	0	0	0	0	0.02547	0.00484	0	0	0	0	0.14383	0	0	0.01913	0	0.21079	0	0.01971	0.03223	0	0.03511	0.07055	0.48442	0.15413	0.03098	0.06605	0.28223	0.07434	0.01535	6.59093	0.60905	0.0667	0.17849	0.03535	0.00309	0.05614	0.36061	0.03299	0.2517	0.45818	0.14979	0.05456	0.08473	0.34527	0.08019	0.02291	0.5677	0.07568	0.12886	0.24259	0.02132	0.00189	0.11536	0.01017	0.02827	0.27213	5.56872	0.3167	0.00261	0.02054	1.67518	0.22752	0	6.73164	0.56167	0	0.00832	0	0.00512	0	0	0	0.00164	0.18491	0	0.00246	0	0.12194	0.07907	0	0.02708	0.13399	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_aurimucosum	0	0	0	0	0.09222	0	0	0	0	0	0	0.01024	0	0	0.00444	0	0	0	0	0.39515	0.06031	0.05786	0	0	0.5766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02361	0	0	0	0.01732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00712	0	0	0.0731	0.4364	0.29353	1.56743	1.6342	0.95527	2.13864	0	1.81001	1.61614	0.10879	2.92134	4.28024	0	0	0	0	0	0	0	0	0	0	0	5.17779	0	0	0	0	0	0	0.01487	0	0.00213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1301	0	0.01143	0	0.0483	0.02434	0	0.74797	0.01527	0	0	0	0	0.23891	0	0	0	0.73872	0.15424	0.14008	3.02398	0.00753	0.9945	0	0.19291	0	0.05561	0.16038	0.36918	0	0	0.00114	0	0	0	0.31351	0.23339	0.02873	0.05081	0	0	0.08373	0.18359	0.00181	0	0	1.96628	0.04052	0.11683	0.07346	0	0.28183	0.56216	1.98958	2.04318	1.515	0	0	0.0565	4.34491	0.71771	0.0978	0.01212	1.69395	0	0	0	0	0	0.00194	0.01875	0.02985	0.08833	0	0	0.47115	0.40876	0	0.00409	1.63363	0	0	0	0	0	0	0	0.07699	0.10755	0.00397	0.00917	0	0.28979	0.04247	0	0	0.01421	0.04916	0.97952	0.05223	0.0294	0.03358	0.34542	0.06163	1.19166	2.51723	0.30493	0.27364	0.15278	2.18008	0.47252	0.03817	0.17659	0.60784	0.68504	0.08066	0	0	0	0	0	0.04158	0.61126	0.13085	0	0.00063	2.07182	0.0187	0	0	0.06899	0	0.07705	0	0.00782	0.02564	0	0.02418	0.01971	0.04571	0.01536	0.00733	0	3.0869	0.14036	0	0	0.20872	0.05732
